,map_unit_id,map_unit_name,meadow,map_unit_area,breed_pre,ls_breed_pre,breed_overall_pre,breed_facres_pre,summer_pre,ls_summer_pre,summer_overall_pre,summer_facres_pre,winter_pre,ls_winter_pre,winter_overall_pre,winter_facres_pre,breed_post,ls_breed_post,breed_overall_post,breed_facres_post,summer_post,ls_summer_post,summer_overall_post,summer_facres_post,winter_post,ls_winter_post,winter_overall_post,winter_facres_post,breed_delta,summer_delta,winter_delta,mgmt_multiplier,meadow_multiplier,breed_credits,summer_credits,winter_credits,habitat_type,credits,total_contribution,reserve_credits,saleable_credits
0,1,First Creek Disturbed Sagebrush ,No Meadow,514.0481305,0.0,0.707851543740923,0.0,0.0,0.0,0.701359662741895,0.0,0.0,0.355,0.4327895184903,0.1536402790640565,78.97849822237653,0.26520000000000005,0.707851543740923,0.1877222294000928,96.49826107640983,0.6188,0.701359662741895,0.43400135930468464,223.09758738503191,0.355,0.4327895184903,0.1536402790640565,78.97849822237653,96.49826107640983,223.09758738503191,0.0,1.2000000211150128,0.0,115.79791532925381,267.7171095727467,0.0,Late Brood-Rearing,267.7171095727467,0.11,29.44888205300214,238.26822751974458
1,2,First Creek Meadow-U,Unaltered,4.547157718,0.0,0.68879386144025,0.0,0.0,0.46155,0.699352720609078,0.32278624819712,1.467759979753798,0.275,0.360467274601643,0.09912850051545184,0.4507529261926038,0.0,0.68879386144025,0.0,0.0,0.67875,0.699352720609078,0.4746856591134117,2.158470558461467,0.275,0.360467274601643,0.09912850051545184,0.4507529261926038,0.0,0.6907105787076693,0.0,1.2,8.0,0.0,6.354537324110557,0.0,Late Brood-Rearing,6.354537324110557,0.11,0.6989991056521613,5.655538218458395
2,3,First Creek Mountain Sage Mix,No Meadow,842.3271952,0.21574,0.694079117444933,0.14974062879756983,126.13060386254135,0.220225,0.701220451882151,0.1544262740157467,130.07745025687058,1.0,0.397554729338879,0.397554729338879,334.8711601025131,0.938,0.694079117444933,0.6510462121633471,548.3939298371363,0.9575,0.701220451882151,0.6714185826771596,565.5541315516111,1.0,0.397554729338879,0.397554729338879,334.8711601025131,422.2633259745949,435.47668129474056,0.0,1.2000000133217792,0.0,506.71599679481267,522.5720233550129,0.0,Late Brood-Rearing,522.5720233550129,0.11,57.48292256905142,465.0891007859615
3,4,NFLH Big Sagebrush,No Meadow,285.0895109,0.0,0.48458669615804,0.0,0.0,0.0,0.695553981572084,0.0,0.0,0.875,0.288295072643563,0.25225818856311766,71.91616359797918,0.3115,0.48458669615804,0.15094875585322945,43.0339069771607,0.2725,0.695553981572084,0.18953845997839291,54.03542685197926,0.875,0.288295072643563,0.25225818856311766,71.91616359797918,43.0339069771607,54.03542685197926,0.0,1.1999999999999997,0.0,51.64068837259283,64.84251222237509,0.0,Late Brood-Rearing,64.84251222237509,0.11,7.13267634446126,57.70983587791383
4,5,NFLH Channel-U,Unaltered,25.47470026,0.004525,0.540333126006382,0.0024450073951788787,0.0622858305256653,0.0084375,0.691748729628375,0.0058366299062394145,0.14868639739000097,0.21,0.279646056330102,0.05872567182932141,1.4960188874190887,0.36652500000000005,0.540333126006382,0.19804559900948918,5.045152272578889,0.6834375,0.691748729628375,0.47276702240539253,12.043598188590078,0.21,0.279646056330102,0.05872567182932141,1.4960188874190887,4.982866442053224,11.894911791200077,0.0,1.2000000000000002,8.0,5.979439730463869,109.4331884790407,0.0,Late Brood-Rearing,109.4331884790407,0.11,12.037650732694477,97.39553774634622
5,6,NFLH Disturbed Greasewood Mix,No Meadow,75.53118956,0.0,0.552023011777136,0.0,0.0,0.0,0.708235223801748,0.0,0.0,0.5,0.308739651434703,0.1543698257173515,11.659736568601438,0.0,0.552023011777136,0.0,0.0,0.3811,0.708235223801748,0.26990844379084616,20.386505831811007,0.5,0.308739651434703,0.1543698257173515,11.659736568601438,0.0,20.386505831811007,0.0,1.2,0.0,0.0,24.463806998173208,0.0,Late Brood-Rearing,24.463806998173208,0.11,2.691018769799053,21.772788228374154
6,7,NFLH Disturbed Sagebrush,No Meadow,439.0405986,0.0,0.438047316931132,0.0,0.0,0.0,0.658609137171997,0.0,0.0,0.5,0.305802924655269,0.1529014623276345,67.12994954714,0.0,0.438047316931132,0.0,0.0,0.228125,0.658609137171997,0.1502452094173618,65.96374667938089,0.5,0.305802924655269,0.1529014623276345,67.12994954714,0.0,65.96374667938089,0.0,1.1999999984071559,0.0,0.0,79.1564959101871,0.0,Late Brood-Rearing,79.1564959101871,0.11,8.70721455012058,70.44928136006652
7,8,NFLH Greasewood Mix 2,No Meadow,436.5244326,0.0,0.507174769809487,0.0,0.0,0.0,0.696951615597521,0.0,0.0,0.5,0.291780790070794,0.145890395035397,63.68472191461653,0.0,0.507174769809487,0.0,0.0,0.200625,0.696951615597521,0.13982591787925264,61.03742946501495,0.5,0.291780790070794,0.145890395035397,63.68472191461653,0.0,61.03742946501495,0.0,1.2,0.0,0.0,73.24491535801793,0.0,Late Brood-Rearing,73.24491535801793,0.11,8.056940689381973,65.18797466863596
8,9,NFLH Meadow-A,Altered,1.44593919,,0.256482328687395,,,,0.697399096829551,,,,0.223125653607505,,,,0.256482328687395,,,,0.697399096829551,,,,0.223125653607505,,,,,,1.2,8.0,,,,None,,0.11,,
9,10,SFLH Big Sagebrush,No Meadow,838.2566957,0.0,0.544326251414702,0.0,0.0,0.0,0.761688972245666,0.0,0.0,0.875,0.332354813181493,0.2908104615338064,243.7738165603205,0.28186,0.544326251414702,0.1534237972237479,128.60852530252575,0.25245,0.761688972245666,0.1922883810434184,161.18702291495842,0.875,0.332354813181493,0.2908104615338064,243.7738165603205,128.60852530252575,161.18702291495842,0.0,1.2000000143798404,0.0,154.33023221240097,193.42442981579376,0.0,Late Brood-Rearing,193.42442981579376,0.11,21.276687279737313,172.14774253605646
