,map_unit_id,map_unit_name,meadow,map_unit_area,breed_pre,ls_breed_pre,breed_overall_pre,breed_facres_pre,summer_pre,ls_summer_pre,summer_overall_pre,summer_facres_pre,winter_pre,ls_winter_pre,winter_overall_pre,winter_facres_pre,breed_post,ls_breed_post,breed_overall_post,breed_facres_post,summer_post,ls_summer_post,summer_overall_post,summer_facres_post,winter_post,ls_winter_post,winter_overall_post,winter_facres_post,breed_delta,summer_delta,winter_delta,mgmt_multiplier,meadow_multiplier,breed_credits,summer_credits,winter_credits,habitat_type,credits,total_contribution,reserve_credits,saleable_credits
0,1,First Creek Disturbed Sagebrush ,No Meadow,514.0481305,0.0,0.707851543740923,0.0,0.0,0.0,0.701359662741895,0.0,0.0,0.355,0.4327895184903,0.1536402790640565,78.97849822237653,0.0,0.707851543740923,0.0,0.0,0.0,0.701359662741895,0.0,0.0,0.355,0.4327895184903,0.1536402790640565,78.97849822237653,0.0,0.0,0.0,1.2000000211150128,0.0,0.0,0.0,0.0,None,0.0,0.11,0.0,0.0
1,2,First Creek Meadow-U,Unaltered,4.547157718,0.0,0.68879386144025,0.0,0.0,0.46155,0.699352720609078,0.32278624819712,1.467759979753798,0.275,0.360467274601643,0.09912850051545184,0.4507529261926038,0.0,0.68879386144025,0.0,0.0,0.51,0.699352720609078,0.35666988751062983,1.6218342317721524,0.275,0.360467274601643,0.09912850051545184,0.4507529261926038,0.0,0.15407425201835445,0.0,1.2,8.0,0.0,1.4174831185688608,0.0,Late Brood-Rearing,1.4174831185688608,0.11,0.15592314304257468,1.261559975526286
2,3,First Creek Mountain Sage Mix,No Meadow,842.3271952,0.21574,0.694079117444933,0.14974062879756983,126.13060386254135,0.220225,0.701220451882151,0.1544262740157467,130.07745025687058,1.0,0.397554729338879,0.397554729338879,334.8711601025131,0.22034,0.694079117444933,0.15293339273781653,128.81995575726503,0.23,0.701220451882151,0.16128070393289473,135.85112298367682,1.0,0.397554729338879,0.397554729338879,334.8711601025131,2.6893518947236856,5.7736727268062396,0.0,1.2000000133217792,0.0,3.227222309495375,6.928407349083081,0.0,Late Brood-Rearing,6.928407349083081,0.11,0.7621248083991389,6.166282540683942
3,4,NFLH Big Sagebrush,No Meadow,285.0895109,0.0,0.48458669615804,0.0,0.0,0.0,0.695553981572084,0.0,0.0,0.875,0.288295072643563,0.25225818856311766,71.91616359797918,0.0,0.48458669615804,0.0,0.0,0.0,0.695553981572084,0.0,0.0,0.875,0.288295072643563,0.25225818856311766,71.91616359797918,0.0,0.0,0.0,1.1999999999999997,0.0,0.0,0.0,0.0,None,0.0,0.11,0.0,0.0
4,5,NFLH Channel-U,Unaltered,25.47470026,0.004525,0.540333126006382,0.0024450073951788787,0.0622858305256653,0.0084375,0.691748729628375,0.0058366299062394145,0.14868639739000097,0.21,0.279646056330102,0.05872567182932141,1.4960188874190887,0.005,0.540333126006382,0.0027016656300319097,0.06882412212780695,0.00975,0.691748729628375,0.006744550113876656,0.17181539253955666,0.21,0.279646056330102,0.05872567182932141,1.4960188874190887,0.006538291602141644,0.023128995149555687,0.0,1.2000000000000002,8.0,0.007845949922569973,0.2127867553759123,0.0,Late Brood-Rearing,0.2127867553759123,0.11,0.023406543091350353,0.18938021228456195
5,6,NFLH Disturbed Greasewood Mix,No Meadow,75.53118956,0.0,0.552023011777136,0.0,0.0,0.0,0.708235223801748,0.0,0.0,0.5,0.308739651434703,0.1543698257173515,11.659736568601438,0.0,0.552023011777136,0.0,0.0,0.0,0.708235223801748,0.0,0.0,0.5,0.308739651434703,0.1543698257173515,11.659736568601438,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,None,0.0,0.11,0.0,0.0
6,7,NFLH Disturbed Sagebrush,No Meadow,439.0405986,0.0,0.438047316931132,0.0,0.0,0.0,0.658609137171997,0.0,0.0,0.5,0.305802924655269,0.1529014623276345,67.12994954714,0.0,0.438047316931132,0.0,0.0,0.0,0.658609137171997,0.0,0.0,0.5,0.305802924655269,0.1529014623276345,67.12994954714,0.0,0.0,0.0,1.1999999984071559,0.0,0.0,0.0,0.0,None,0.0,0.11,0.0,0.0
7,8,NFLH Greasewood Mix 2,No Meadow,436.5244326,0.0,0.507174769809487,0.0,0.0,0.0,0.696951615597521,0.0,0.0,0.5,0.291780790070794,0.145890395035397,63.68472191461653,0.0,0.507174769809487,0.0,0.0,0.0,0.696951615597521,0.0,0.0,0.5,0.291780790070794,0.145890395035397,63.68472191461653,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,None,0.0,0.11,0.0,0.0
8,9,NFLH Meadow-A,Altered,1.44593919,,0.256482328687395,,,,0.697399096829551,,,,0.223125653607505,,,,0.256482328687395,,,,0.697399096829551,,,,0.223125653607505,,,,,,1.2,8.0,,,,None,,0.11,,
9,10,SFLH Big Sagebrush,No Meadow,838.2566957,0.0,0.544326251414702,0.0,0.0,0.0,0.761688972245666,0.0,0.0,0.875,0.332354813181493,0.2908104615338064,243.7738165603205,0.0,0.544326251414702,0.0,0.0,0.0,0.761688972245666,0.0,0.0,0.875,0.332354813181493,0.2908104615338064,243.7738165603205,0.0,0.0,0.0,1.2000000143798404,0.0,0.0,0.0,0.0,None,0.0,0.11,0.0,0.0
10,12,SFLH Disturbed Sagebrush,No Meadow,563.3727268,0.0,0.594238575812001,0.0,0.0,0.0,0.771864415314452,0.0,0.0,0.0,0.407927400969513,0.0,0.0,0.0,0.594238575812001,0.0,0.0,0.0,0.771864415314452,0.0,0.0,0.0,0.407927400969513,0.0,0.0,0.0,0.0,0.0,1.1999999999999997,0.0,0.0,0.0,0.0,None,0.0,0.11,0.0,0.0
11,13,SFLH Greasewood Mix 2,No Meadow,58.94992104,0.22499999999999998,0.544409772575791,0.12249219882955298,7.220905449018129,0.15794999999999998,0.794930154506159,0.1255592179042478,7.401705981299561,1.0,0.218706857870059,0.218706857870059,12.89275200234648,0.27,0.544409772575791,0.1469906385954636,8.665086538821756,0.24435,0.794930154506159,0.19424118325357997,11.450502415514709,1.0,0.218706857870059,0.218706857870059,12.89275200234648,1.4441810898036271,4.048796434215148,0.0,1.2000000736066783,0.0,1.7330174140657253,4.858556019076634,0.0,Late Brood-Rearing,4.858556019076634,0.11,0.5344411620984297,4.324114856978204
12,14,SFLH Meadow-A,Altered,149.6917473,0.3625,0.479607223363888,0.1738576184694094,26.025050690102645,0.19320589375,0.710820991606804,0.1373348049796538,20.55788692250912,0.0,0.114365791306896,0.0,0.0,0.48,0.479607223363888,0.23021146721466623,34.460756775860055,0.23610673000000001,0.710820991606804,0.16782961994363996,25.122709058058394,0.0,0.114365791306896,0.0,0.0,8.43570608575741,4.564822135549274,0.0,1.2,8.0,10.122847302908891,41.99636364705332,0.0,Late Brood-Rearing,41.99636364705332,0.11,4.619600001175866,37.37676364587745
13,15,SFLH Meadow-U,Unaltered,30.50475985,0.45,0.51871260014527,0.2334206700653715,7.120441484370241,0.92875,0.773485828246643,0.7183749629840697,21.913855728081685,0.0,0.224713466394303,0.0,0.0,0.5,0.51871260014527,0.259356300072635,7.911601649300268,1.0,0.773485828246643,0.773485828246643,23.59499943804219,0.0,0.224713466394303,0.0,0.0,0.7911601649300266,1.681143709960505,0.0,1.2,8.0,0.9493921979160319,15.466522131636646,0.0,Late Brood-Rearing,15.466522131636646,0.11,1.701317434480031,13.765204697156616
14,16,SFLH Sodic Mix 1,No Meadow,34.59620489,0.0,0.560575492631376,0.0,0.0,0.49375,0.796757873776671,0.3933992001772313,13.61011933289362,0.0,0.230499980511603,0.0,0.0,0.25,0.560575492631376,0.140143873157844,4.848446149846942,0.625,0.796757873776671,0.49797367111041935,17.227999155561545,0.0,0.230499980511603,0.0,0.0,4.848446149846942,3.617879822667925,0.0,1.2000000716266095,0.0,5.81813572709409,4.341456046337975,0.0,Breeding,5.81813572709409,0.11,0.6399949299803499,5.178140797113739
15,17,Snowstorm Mountains Disturbed Sagebrush,No Meadow,1004.239271,0.518,0.707781694390809,0.36663091769443906,368.1851655115245,1.0,0.700099377216477,0.700099377216477,703.0672882034289,0.315,0.442046501219534,0.1392446478841532,139.8349436818337,0.518,0.707781694390809,0.36663091769443906,368.1851655115245,1.0,0.700099377216477,0.700099377216477,703.0672882034289,0.315,0.442046501219534,0.1392446478841532,139.8349436818337,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,None,0.0,0.11,0.0,0.0
16,18,Snowstorm Mountains Meadow-U,Unaltered,14.13400536,0.0,0.702529813816298,0.0,0.0,0.0,0.70390684642489,0.0,0.0,0.0,0.448981608663286,0.0,0.0,0.0,0.702529813816298,0.0,0.0,0.0,0.70390684642489,0.0,0.0,0.0,0.448981608663286,0.0,0.0,0.0,0.0,0.0,1.1999999999999997,8.0,0.0,0.0,0.0,None,0.0,0.11,0.0,0.0
17,19,Snowstorm Mountains Mountain Sagebrush Mix,No Meadow,1525.225901,0.95,0.686484172959898,0.6521599643119032,994.6912691637503,0.92875,0.697558601959977,0.6478575515703286,988.1291178135085,1.0,0.385346638433065,0.385346638433065,587.7406738013927,1.0,0.686484172959898,0.686484172959898,1047.0434412250004,1.0,0.697558601959977,0.697558601959977,1063.9344471747063,1.0,0.385346638433065,0.385346638433065,587.7406738013927,52.35217206125003,75.80532936119778,0.0,1.2,0.0,62.82260647350003,90.96639523343732,0.0,Late Brood-Rearing,90.96639523343732,0.11,10.006303475678106,80.96009175775922
18,28,Spring Creek Big Sagebrush,No Meadow,1308.039248,0.20902500000000002,0.710794251218755,0.14857376836100025,194.34032023944897,0.22331250000000002,0.6942088749739,0.15502551939260908,202.77946380711782,0.875,0.436887034085066,0.3822761548244328,500.03221408488264,0.26415,0.710794251218755,0.18775630145943412,245.59261136825953,0.30824999999999997,0.6942088749739,0.21398988571070468,279.90716918463613,0.875,0.436887034085066,0.3822761548244328,500.03221408488264,51.252291128810555,77.12770537751831,0.0,1.1999999999999995,0.0,61.50274935457264,92.55324645302194,0.0,Late Brood-Rearing,92.55324645302194,0.11,10.180857109832413,82.37238934318952
19,29,Spring Creek Big Sagebrush Bottom,No Meadow,125.1947221,0.0,0.752501441572742,0.0,0.0,0.0,0.706635918834768,0.0,0.0,0.975,0.455495158013803,0.44410777906345794,55.599949982297815,0.0,0.752501441572742,0.0,0.0,0.0,0.706635918834768,0.0,0.0,0.975,0.455495158013803,0.44410777906345794,55.599949982297815,0.0,0.0,0.0,1.1999999999999997,0.0,0.0,0.0,0.0,None,0.0,0.11,0.0,0.0
20,31,Spring Creek Disturbed Sagebrush,No Meadow,446.5607843,0.0,0.70465370656243,0.0,0.0,0.0,0.70347676586595,0.0,0.0,0.34,0.481693048535859,0.16377563650219207,73.1357766856506,0.0,0.70465370656243,0.0,0.0,0.0,0.70347676586595,0.0,0.0,0.34,0.481693048535859,0.16377563650219207,73.1357766856506,0.0,0.0,0.0,1.2000000000000002,0.0,0.0,0.0,0.0,None,0.0,0.11,0.0,0.0
21,32,Spring Creek Disturbed Sagebrush 2,No Meadow,373.9286888,0.0,0.709670636703423,0.0,0.0,0.0,0.710093302269989,0.0,0.0,0.0,0.471268109667909,0.0,0.0,0.0,0.709670636703423,0.0,0.0,0.0,0.710093302269989,0.0,0.0,0.0,0.471268109667909,0.0,0.0,0.0,0.0,0.0,1.1999999999999997,0.0,0.0,0.0,0.0,None,0.0,0.11,0.0,0.0
