attr_value,b_sage_cover,b_shrub_cover,b_forb_cover_arid,b_forb_cover_mesic,b_forb_rich_arid,b_forb_rich_mesic,s_forb_cover_arid,s_forb_cover_mesic,s_forb_cover_meadow,s_forb_rich_arid,s_forb_rich_mesic,s_grass_cover_arid,s_grass_cover_mesic,s_grass_cover_meadow,w_sage_height_big,w_sage_height_low,w_sage_cover_big,w_sage_cover_low,brotec_cover,s_dist_sage_altered,s_dist_sage_unaltered
0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0,0,0,0,0,1,1,1
1,0,0,0,0,0.3,0,0,0,0,0.3,0,0.25,0.25,0,0,0,0,0,1,1,1
2,0,0,0.4,0.14,0.6,0.25,0.4,0.16,0.11,0.6,0.25,0.25,0.25,0,0,0,0,0,1,1,1
3,0,0,0.7,0.25,0.75,0.45,0.7,0.36,0.2,0.75,0.45,0.33,0.25,0,0,0,0,0,1,1,1
4,0,0,0.9,0.35,0.9,0.65,0.9,0.52,0.29,0.9,0.67,0.4,0.25,0,0,0,0,0,1,1,1
5,0,0,1,0.44,1,0.8,1,0.65,0.37,1,0.81,0.48,0.32,0,0,0,0,0,1,1,1
6,0,0,1,0.52,1,0.92,1,0.73,0.44,1,0.92,0.56,0.37,0,0,0,0,0,0.9,1,1
7,0,0,1,0.58,1,1,1,0.82,0.51,1,1,0.63,0.44,0,0,0,0,0,0.81,1,1
8,0,0,1,0.64,1,1,1,0.87,0.57,1,1,0.7,0.51,0,0,0,0,0,0.74,1,1
9,0,0,1,0.7,1,1,1,0.91,0.63,1,1,0.77,0.58,0,0,0,0,0,0.68,1,1
10,0.16,0.06,1,0.76,1,1,1,0.95,0.68,1,1,0.83,0.63,0,0,0,0.16,0.25,0.61,1,1
11,0.36,0.2,1,0.81,1,1,1,0.98,0.73,1,1,0.87,0.68,0,0,0,0.36,0.48,0.56,1,1
12,0.52,0.3,1,0.85,1,1,1,1,0.77,1,1,0.92,0.73,0,0,0,0.52,0.67,0.5,1,1
13,0.65,0.36,1,0.89,1,1,1,1,0.81,1,1,0.96,0.77,0,0,0,0.65,0.81,0.45,1,1
14,0.73,0.44,1,0.93,1,1,1,1,0.85,1,1,0.98,0.81,0,0,0,0.75,0.92,0.4,1,1
15,0.8,0.52,1,0.97,1,1,1,1,0.89,1,1,1,0.84,0,0,0.16,0.82,1,0.36,1,1
16,0.85,0.58,1,1,1,1,1,1,0.93,1,1,1,0.87,0,0,0.36,0.87,1,0.32,1,1
17,0.9,0.64,1,1,1,1,1,1,0.96,1,1,1,0.89,0,0,0.52,0.91,1,0.29,1,1
18,0.94,0.68,1,1,1,1,1,1,0.98,1,1,1,0.91,0,0,0.65,0.95,1,0.26,1,1
19,0.98,0.72,1,1,1,1,1,1,0.99,1,1,1,0.93,0,0,0.74,0.98,1,0.23,1,1
20,1,0.75,1,1,1,1,1,1,1,1,1,1,0.95,0,0,0.81,1,1,0.2,1,1
21,1,0.78,1,1,1,1,1,1,1,1,1,1,0.96,0,0,0.86,1,1,0.17,1,1
22,1,0.8,1,1,1,1,1,1,1,1,1,1,0.97,0,0,0.91,1,1,0.14,1,1
23,1,0.82,1,1,1,1,1,1,1,1,1,1,0.98,0,0,0.95,1,1,0.12,1,1
24,1,0.84,1,1,1,1,1,1,1,1,1,1,0.99,0,0,0.98,1,1,0.1,1,1
25,1,0.86,1,1,1,1,1,1,1,1,1,1,1,0.07,0.05,1,1,1,0.08,1,1
26,1,0.88,1,1,1,1,1,1,1,1,1,1,1,0.14,0.11,1,1,1,0.06,1,1
27,1,0.9,1,1,1,1,1,1,1,1,1,1,1,0.2,0.17,1,1,1,0.04,1,1
28,1,0.91,1,1,1,1,1,1,1,1,1,1,1,0.26,0.22,1,1,1,0.025,1,1
29,1,0.93,1,1,1,1,1,1,1,1,1,1,1,0.32,0.27,1,1,1,0.01,1,1
30,1,0.95,1,1,1,1,1,1,1,1,1,1,1,0.38,0.32,1,1,1,0,1,1
31,1,0.96,1,1,1,1,1,1,1,1,1,1,1,0.43,0.37,1,1,1,0,1,1
32,1,0.97,1,1,1,1,1,1,1,1,1,1,1,0.48,0.42,1,1,1,0,1,1
33,1,0.98,1,1,1,1,1,1,1,1,1,1,1,0.53,0.47,1,1,1,0,1,1
34,1,0.99,1,1,1,1,1,1,1,1,1,1,1,0.57,0.51,1,1,1,0,1,1
35,1,1,1,1,1,1,1,1,1,1,1,1,1,0.61,0.55,1,1,1,0,1,1
36,1,1,1,1,1,1,1,1,1,1,1,1,1,0.65,0.59,1,1,1,0,1,1
37,1,1,1,1,1,1,1,1,1,1,1,1,1,0.68,0.63,1,1,1,0,1,1
38,1,1,1,1,1,1,1,1,1,1,1,1,1,0.72,0.66,1,1,1,0,1,1
39,1,1,1,1,1,1,1,1,1,1,1,1,1,0.75,0.68,1,1,1,0,1,1
40,1,1,1,1,1,1,1,1,1,1,1,1,1,0.78,0.71,1,1,1,0,1,1
